iter	F1	Logloss
0	0.7398297067	0.6893284176
1	0.7617295308	0.6852992367
2	0.7690892364	0.6819377606
3	0.7769784173	0.6783576976
4	0.771019678	0.6752395859
5	0.7795414462	0.6710377103
6	0.7719609583	0.6676011258
7	0.7715555556	0.664358905
8	0.7718360071	0.6608761952
9	0.7747105966	0.657751896
10	0.7732142857	0.6543048887
11	0.7692307692	0.6513827591
12	0.771019678	0.6485575003
13	0.7707404103	0.6456736347
14	0.7735004476	0.6420452905
15	0.7744833783	0.6388441777
16	0.7755834829	0.6358346425
17	0.7744833783	0.6334021272
18	0.773381295	0.6306266635
19	0.774368231	0.6283438931
20	0.7806624888	0.625778132
21	0.7769784173	0.6233768377
22	0.7839285714	0.6209076383
23	0.7836153161	0.6187485362
24	0.7850133809	0.6165814202
25	0.7850133809	0.614342099
26	0.7871772039	0.611866317
27	0.78782453	0.6097706147
28	0.7864164433	0.6073503169
29	0.7875	0.6047223273
30	0.7885816236	0.6024512361
31	0.7885816236	0.6001437525
32	0.7868561279	0.5979594709
33	0.7918149466	0.5965974472
34	0.7914438503	0.5946092579
35	0.7921498662	0.5919104748
36	0.7918149466	0.5897364754
37	0.7925200356	0.5879146105
38	0.7925200356	0.5860329593
39	0.7925200356	0.5841969759
40	0.7932263815	0.5821241466
41	0.793594306	0.5804413739
42	0.7911111111	0.5787207864
43	0.7914818101	0.577133764
44	0.7925531915	0.5753673624
45	0.7936226749	0.5738522533
46	0.793256433	0.5720709196
47	0.7921847247	0.5700534564
48	0.7939609236	0.567853936
49	0.7964444444	0.5664000903
50	0.7939609236	0.5649620066
51	0.7925531915	0.5635844788
52	0.7925531915	0.5619599954
53	0.7925531915	0.5597569164
54	0.7936226749	0.5583090731
55	0.793256433	0.5568080246
56	0.7925531915	0.5557202839
57	0.792920354	0.5540619666
58	0.793256433	0.5522254432
59	0.7925531915	0.550685746
60	0.7925531915	0.5488645397
61	0.7939609236	0.5471463206
62	0.7946666667	0.5458006678
63	0.7957371226	0.5442930609
64	0.7971656333	0.5430110965
65	0.8	0.5415940669
66	0.8	0.5404728227
67	0.801061008	0.5394158955
68	0.801061008	0.5384244427
69	0.801061008	0.5373901084
70	0.8021201413	0.5359486936
71	0.8017699115	0.5347591067
72	0.8017699115	0.5335353516
73	0.8017699115	0.5326842469
74	0.8024800709	0.531771025
75	0.8039041704	0.5305522504
76	0.8017699115	0.5294088404
77	0.8024800709	0.5280985075
78	0.8017699115	0.5270762889
79	0.8017699115	0.5256857941
80	0.8017699115	0.524271238
81	0.8028293546	0.5231593877
82	0.80425155	0.5218862175
83	0.804964539	0.5207903372
84	0.80425155	0.519548508
85	0.804964539	0.5184263232
86	0.80425155	0.5176533764
87	0.80425155	0.516718111
88	0.804964539	0.5158541441
89	0.8056787933	0.5148614264
90	0.8053097345	0.5138489686
91	0.8056787933	0.512875722
92	0.8085106383	0.5116714768
93	0.8088495575	0.5107265923
94	0.8088495575	0.5095004289
95	0.8088495575	0.5086454983
96	0.8074534161	0.5078979892
97	0.8067375887	0.5071917987
98	0.8088495575	0.5064163191
99	0.8074534161	0.5053789245
100	0.8085106383	0.5047130145
101	0.8113374668	0.5035660268
